section,field,type,required,alpha_value,survivability_value,roi_optimization_value,description
01_trade_identity,trade_id,string,yes,H,H,H,Unique trade identifier
01_trade_identity,ranking_cycle_id,string,yes,H,M,H,ID linking all candidates evaluated before this trade
01_trade_identity,candidate_id,string,yes,H,M,H,Selected candidate ID from opportunity ranking
01_trade_identity,date,date,yes,M,M,M,Trade date
01_trade_identity,day_of_week,string,yes,M,L,M,Day of week
01_trade_identity,month,int,yes,L,L,M,Calendar month
01_trade_identity,quarter,int,yes,L,L,M,Calendar quarter
01_trade_identity,instrument,string,yes,H,H,H,BANKNIFTY/NIFTY/FINNIFTY/MIDCPNIFTY
01_trade_identity,option_type,string,yes,H,M,H,CE or PE
01_trade_identity,strike,float,yes,M,M,M,Selected option strike
01_trade_identity,expiry_date,date,yes,M,H,M,Option expiry date
01_trade_identity,dte,float,yes,H,H,H,Days to expiry at entry
01_trade_identity,expiry_week_flag,bool,yes,M,H,M,Whether trade occurs in expiry week
01_trade_identity,monthly_expiry_week_flag,bool,no,L,M,L,Monthly expiry week flag
01_trade_identity,entry_time,datetime,yes,H,M,H,Entry decision/fill time
01_trade_identity,exit_time,datetime,no,H,M,H,Exit decision/fill time
01_trade_identity,trade_duration_seconds,int,no,H,M,H,Time in trade in seconds
01_trade_identity,session_bucket,string,yes,H,M,H,Opening/Morning/Midday/PowerHour/Close
01_trade_identity,trade_mode,string,yes,M,H,M,DRY_RUN/PAPER/MANUAL_LIVE
01_trade_identity,execution_mode,string,yes,M,H,M,manual/paper/simulated
02_entry_data,entry_underlying_spot,float,yes,H,M,H,Underlying index spot at entry
02_entry_data,entry_futures_price,float,yes,H,M,H,Nearest relevant futures price at entry
02_entry_data,entry_option_bid,float,yes,M,H,H,Best bid at entry decision
02_entry_data,entry_option_ask,float,yes,M,H,H,Best ask at entry decision
02_entry_data,entry_option_mid,float,yes,H,H,H,Mid price at entry decision
02_entry_data,entry_option_ltp,float,no,L,M,L,Last traded price at entry
02_entry_data,entry_fill_price,float,no,H,H,H,Actual or simulated entry fill
02_entry_data,entry_order_type,string,yes,L,H,M,Marketable limit / paper fill / etc.
02_entry_data,entry_limit_price,float,no,L,H,M,Limit price used for entry
02_entry_data,entry_underlying_vwap,float,yes,H,M,H,Underlying/futures VWAP at entry
02_entry_data,entry_distance_from_vwap_pct,float,yes,H,M,H,Distance from VWAP at entry
02_entry_data,entry_day_high,float,yes,M,L,M,Day high at entry
02_entry_data,entry_day_low,float,yes,M,L,M,Day low at entry
02_entry_data,entry_distance_from_day_high_pct,float,no,M,L,M,Distance from day high
02_entry_data,entry_distance_from_day_low_pct,float,no,M,L,M,Distance from day low
02_entry_data,entry_candidate_age_seconds,float,yes,H,H,H,Age of selected candidate before order
02_entry_data,entry_revalidation_passed,bool,yes,H,H,H,Final pre-order revalidation result
02_entry_data,entry_reason_code,string,yes,H,M,H,Structured entry reason code
02_entry_data,entry_reason_text,string,yes,M,M,M,Human-readable entry reason
03_exit_data,exit_underlying_spot,float,no,M,M,M,Underlying spot at exit
03_exit_data,exit_futures_price,float,no,M,M,M,Futures price at exit
03_exit_data,exit_option_bid,float,no,M,H,H,Best bid at exit
03_exit_data,exit_option_ask,float,no,M,H,H,Best ask at exit
03_exit_data,exit_option_mid,float,no,H,H,H,Mid at exit
03_exit_data,exit_option_ltp,float,no,L,M,L,LTP at exit
03_exit_data,exit_fill_price,float,no,H,H,H,Actual/simulated exit fill
03_exit_data,exit_order_type,string,no,L,H,M,Order type used to exit
03_exit_data,exit_reason_primary,string,yes,H,H,H,Primary exit reason
